state,product,market_price,unit,currency
Gujarat,Mustard,3130.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",6732.0,quintal,INR
Gujarat,Wheat,1695.0,quintal,INR
Gujarat,Cummin Seed(Jeera),15000.0,quintal,INR
Gujarat,Groundnut,3300.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",8000.0,quintal,INR
Gujarat,Maize,1340.0,quintal,INR
Gujarat,Wheat,1685.0,quintal,INR
Gujarat,Maize,1350.0,quintal,INR
Gujarat,Wheat,1680.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1175.0,quintal,INR
Gujarat,Castor Seed,4033.0,quintal,INR
Gujarat,Cotton,4647.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4027.0,quintal,INR
Gujarat,Jowar(Sorghum),3845.0,quintal,INR
Gujarat,Mustard,3217.0,quintal,INR
Gujarat,Wheat,1722.0,quintal,INR
Gujarat,Beans,2925.0,quintal,INR
Gujarat,Black Gram (Urd Beans),2375.0,quintal,INR
Gujarat,Corriander Seed,4200.0,quintal,INR
Gujarat,Cummin Seed(Jeera),14960.0,quintal,INR
Gujarat,Green Gram (Moong),4550.0,quintal,INR
Gujarat,Ground Nut Seed,3675.0,quintal,INR
Gujarat,Wheat,1515.0,quintal,INR
Gujarat,Wheat,1545.0,quintal,INR
Gujarat,Castor Seed,3880.0,quintal,INR
Gujarat,Groundnut,3605.0,quintal,INR
Gujarat,Maize,1505.0,quintal,INR
Gujarat,Wheat,1640.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),3700.0,quintal,INR
Gujarat,Black Gram (Urd Beans),2950.0,quintal,INR
Gujarat,Castor Seed,2625.0,quintal,INR
Gujarat,Cummin Seed(Jeera),16250.0,quintal,INR
Gujarat,Groundnut,3555.0,quintal,INR
Gujarat,Jowar(Sorghum),3250.0,quintal,INR
Gujarat,Kulthi(Horse Gram),2050.0,quintal,INR
Gujarat,Methi Seeds,2500.0,quintal,INR
Gujarat,Mustard,4500.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",6900.0,quintal,INR
Gujarat,Soyabean,3125.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1440.0,quintal,INR
Gujarat,Brinjal,950.0,quintal,INR
Gujarat,Castor Seed,3745.0,quintal,INR
Gujarat,Cummin Seed(Jeera),15975.0,quintal,INR
Gujarat,Groundnut,2800.0,quintal,INR
Gujarat,Jowar(Sorghum),3240.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7635.0,quintal,INR
Gujarat,Tomato,650.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4150.0,quintal,INR
Gujarat,Bengal Gram(Gram),3600.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3750.0,quintal,INR
Gujarat,Castor Seed,3850.0,quintal,INR
Gujarat,Corriander Seed,5500.0,quintal,INR
Gujarat,Cummin Seed(Jeera),16000.0,quintal,INR
Gujarat,Garlic,1100.0,quintal,INR
Gujarat,Green Gram (Moong),4500.0,quintal,INR
Gujarat,Groundnut,3550.0,quintal,INR
Gujarat,Jowar(Sorghum),3000.0,quintal,INR
Gujarat,Maize,1400.0,quintal,INR
Gujarat,Methi Seeds,3000.0,quintal,INR
Gujarat,"Sesamum(Sesame,Gingelly,Til)",7500.0,quintal,INR
Gujarat,Wheat,1675.0,quintal,INR
Gujarat,Wheat,1875.0,quintal,INR
Gujarat,Bottle Gourd,400.0,quintal,INR
Gujarat,Brinjal,425.0,quintal,INR
Gujarat,Cluster Beans,4500.0,quintal,INR
Gujarat,Ginger(Green),2750.0,quintal,INR
Gujarat,Green Chilli,1500.0,quintal,INR
Gujarat,Lemon,875.0,quintal,INR
Gujarat,Onion,1400.0,quintal,INR
Gujarat,Potato,450.0,quintal,INR
Gujarat,Tomato,450.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4475.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3525.0,quintal,INR
Gujarat,Cotton,4943.0,quintal,INR
Gujarat,Groundnut,3088.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4063.0,quintal,INR
Gujarat,Maize,1275.0,quintal,INR
Gujarat,Soyabean,3200.0,quintal,INR
Gujarat,Maize,1225.0,quintal,INR
Gujarat,Mustard,3000.0,quintal,INR
Gujarat,Maize,1325.0,quintal,INR
Gujarat,Soyabean,3557.0,quintal,INR
Gujarat,Wheat,1712.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3400.0,quintal,INR
Gujarat,Groundnut,3350.0,quintal,INR
Gujarat,Maize,1150.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3350.0,quintal,INR
Gujarat,Castor Seed,3700.0,quintal,INR
Gujarat,Cotton,4750.0,quintal,INR
Gujarat,Bajra(Pearl Millet/Cumbu),1240.0,quintal,INR
Gujarat,Castor Seed,4038.0,quintal,INR
Gujarat,Guar Seed(Cluster Beans Seed),4163.0,quintal,INR
Gujarat,Mustard,3175.0,quintal,INR
Gujarat,Castor Seed,4025.0,quintal,INR
Gujarat,Cotton,5100.0,quintal,INR
Gujarat,Maize,1468.0,quintal,INR
Gujarat,Wheat,1655.0,quintal,INR
Gujarat,Cotton,4621.0,quintal,INR
Gujarat,Maize,950.0,quintal,INR
Gujarat,Brinjal,650.0,quintal,INR
Gujarat,Carrot,925.0,quintal,INR
Gujarat,Green Chilli,3250.0,quintal,INR
Gujarat,Lemon,1125.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4050.0,quintal,INR
Gujarat,Arhar (Tur/Red Gram),4000.0,quintal,INR
Gujarat,Black Gram (Urd Beans),3250.0,quintal,INR
Gujarat,Cauliflower,750.0,quintal,INR
Gujarat,Groundnut,3125.0,quintal,INR
Gujarat,Jowar(Sorghum),2075.0,quintal,INR
Gujarat,Soyabean,3475.0,quintal,INR
Gujarat,Mustard,2750.0,quintal,INR
Gujarat,Soanf,5750.0,quintal,INR
Gujarat,Wheat,1525.0,quintal,INR
